0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/LoginServlet?method=TeacherView HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/images/layout-browser-hd-bg.gif HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/images/tabicons.png HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/find.png HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/asterisk_orange.png HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:52 +0800] "GET /EducationalSystem/easyui/themes/icons/note.png HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/TeacherServlet?method=TeacherPersonalView HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/css/demo.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/js/validateExtends.js HTTP/1.1" 200 5029
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/themes/icons/user_add.png HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:53 +0800] "GET /EducationalSystem/easyui/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/TeacherServlet?method=ScoreManageView HTTP/1.1" 200 8700
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/easyui/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/easyui/themes/icons/more.png HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "GET /EducationalSystem/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:54 +0800] "POST /EducationalSystem/TeacherServlet?method=studentList HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:56 +0800] "GET /EducationalSystem/AdminServlet?method=ScoreListView HTTP/1.1" 200 7369
